# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 5.88357218593e+07, 1.02766134390e+03, 1.64192375308e-03, 2.61394312767e+05, 5.96762666233e-01, 3.99228797828e+03, 4.00249593291e+03, 2.04142259639e+05 
1.00000000000e+00, 5.93377252513e+07, 1.02788312003e+03, 1.64141053423e-03, 2.61865489714e+05, 5.97049828361e-01, 3.99073141886e+03, 4.00114764458e+03, 2.04137403617e+05 
1.00000000000e+00, 5.98397286432e+07, 1.02810464857e+03, 1.64090115631e-03, 2.62336400728e+05, 5.97336332100e-01, 3.98917956433e+03, 3.99980566347e+03, 2.04132473018e+05 
1.00000000000e+00, 6.03417320352e+07, 1.02832592988e+03, 1.64039561044e-03, 2.62807046634e+05, 5.97622178996e-01, 3.98763239097e+03, 3.99846995166e+03, 2.04127468222e+05 
1.00000000000e+00, 6.08437354271e+07, 1.02854696433e+03, 1.63989388774e-03, 2.63277428255e+05, 5.97907370593e-01, 3.98608987519e+03, 3.99714047146e+03, 2.04122389606e+05 
1.00000000000e+00, 6.13457388191e+07, 1.02876775227e+03, 1.63939597936e-03, 2.63747546413e+05, 5.98191908435e-01, 3.98455199355e+03, 3.99581718539e+03, 2.04117237546e+05 
1.00000000000e+00, 6.18477422111e+07, 1.02898829406e+03, 1.63890187645e-03, 2.64217401924e+05, 5.98475794061e-01, 3.98301872275e+03, 3.99450005614e+03, 2.04112012418e+05 
1.00000000000e+00, 6.23497456030e+07, 1.02920859007e+03, 1.63841157019e-03, 2.64686995605e+05, 5.98759029011e-01, 3.98149003964e+03, 3.99318904663e+03, 2.04106714596e+05 
1.00000000000e+00, 6.28517489950e+07, 1.02942864066e+03, 1.63792505175e-03, 2.65156328269e+05, 5.99041614824e-01, 3.97996592120e+03, 3.99188412000e+03, 2.04101344453e+05 
1.00000000000e+00, 6.33537523869e+07, 1.02964844620e+03, 1.63744231236e-03, 2.65625400727e+05, 5.99323553035e-01, 3.97844634455e+03, 3.99058523956e+03, 2.04095902362e+05 
1.00000000000e+00, 6.38557557789e+07, 1.02986800703e+03, 1.63696334323e-03, 2.66094213787e+05, 5.99604845179e-01, 3.97693128696e+03, 3.98929236884e+03, 2.04090388692e+05 
