# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 2.16874708543e+07, 1.02305034687e+03, 1.33299531553e-04, 1.95446037900e+05, 1.32052575566e-01, 9.28727287306e+02, 1.94749382131e+03, 1.74247207442e+05 
1.00000000000e+00, 2.21894742462e+07, 1.02491353022e+03, 1.34075025687e-04, 1.95437956271e+05, 1.32562973815e-01, 9.28922100804e+02, 1.94111288061e+03, 1.73787862296e+05 
1.00000000000e+00, 2.26914776382e+07, 1.02675034987e+03, 1.34845426582e-04, 1.95434999316e+05, 1.33068709016e-01, 9.29119818095e+02, 1.93492556487e+03, 1.73334712093e+05 
1.00000000000e+00, 2.31934810302e+07, 1.02856166307e+03, 1.35610899703e-04, 1.95436996087e+05, 1.33569920350e-01, 9.29320154029e+02, 1.92892249178e+03, 1.72887564330e+05 
1.00000000000e+00, 2.36954844221e+07, 1.03034828321e+03, 1.36371602092e-04, 1.95443784354e+05, 1.34066740250e-01, 9.29522853609e+02, 1.92309490746e+03, 1.72446236041e+05 
1.00000000000e+00, 2.41974878141e+07, 1.03211098287e+03, 1.37127682959e-04, 1.95455209999e+05, 1.34559294854e-01, 9.29727688485e+02, 1.91743463302e+03, 1.72010553159e+05 
1.00000000000e+00, 2.46994912060e+07, 1.03385049667e+03, 1.37879284219e-04, 1.95471126471e+05, 1.35047704416e-01, 9.29934453912e+02, 1.91193401651e+03, 1.71580349917e+05 
1.00000000000e+00, 2.52014945980e+07, 1.03556752374e+03, 1.38626540977e-04, 1.95491394282e+05, 1.35532083689e-01, 9.30142966094e+02, 1.90658588986e+03, 1.71155468309e+05 
1.00000000000e+00, 2.57034979899e+07, 1.03726273012e+03, 1.39369581986e-04, 1.95515880549e+05, 1.36012542275e-01, 9.30353059861e+02, 1.90138352995e+03, 1.70735757593e+05 
1.00000000000e+00, 2.62055013819e+07, 1.03893675086e+03, 1.40108530050e-04, 1.95544458567e+05, 1.36489184940e-01, 9.30564586636e+02, 1.89632062349e+03, 1.70321073832e+05 
1.00000000000e+00, 2.67075047739e+07, 1.04059019200e+03, 1.40843502406e-04, 1.95577007426e+05, 1.36962111917e-01, 9.30777412649e+02, 1.89139123531e+03, 1.69911279477e+05 
1.00000000000e+00, 2.72095081658e+07, 1.04222363236e+03, 1.41574611072e-04, 1.95613411650e+05, 1.37431419169e-01, 9.30991417360e+02, 1.88658977950e+03, 1.69506242976e+05 
1.00000000000e+00, 2.77115115578e+07, 1.04383762524e+03, 1.42301963165e-04, 1.95653560867e+05, 1.37897198650e-01, 9.31206492073e+02, 1.88191099334e+03, 1.69105838418e+05 
1.00000000000e+00, 2.82135149497e+07, 1.04543269994e+03, 1.43025661193e-04, 1.95697349507e+05, 1.38359538531e-01, 9.31422538707e+02, 1.87734991345e+03, 1.68709945199e+05 
1.00000000000e+00, 2.87155183417e+07, 1.04700936316e+03, 1.43745803337e-04, 1.95744676515e+05, 1.38818523417e-01, 9.31639468706e+02, 1.87290185416e+03, 1.68318447723e+05 
1.00000000000e+00, 2.92175217337e+07, 1.04856810033e+03, 1.44462483691e-04, 1.95795445095e+05, 1.39274234548e-01, 9.31857202076e+02, 1.86856238775e+03, 1.67931235108e+05 
1.00000000000e+00, 2.97195251256e+07, 1.05010937684e+03, 1.45175792507e-04, 1.95849562465e+05, 1.39726749986e-01, 9.32075666523e+02, 1.86432732636e+03, 1.67548200930e+05 
1.00000000000e+00, 3.02215285176e+07, 1.05163363915e+03, 1.45885816403e-04, 1.95906939634e+05, 1.40176144782e-01, 9.32294796686e+02, 1.86019270548e+03, 1.67169242976e+05 
1.00000000000e+00, 3.07235319095e+07, 1.05314131584e+03, 1.46592638567e-04, 1.95967491191e+05, 1.40622491142e-01, 9.32514533459e+02, 1.85615476875e+03, 1.66794263014e+05 
1.00000000000e+00, 3.12255353015e+07, 1.05463281862e+03, 1.47296338948e-04, 1.96031135112e+05, 1.41065858575e-01, 9.32734823374e+02, 1.85220995409e+03, 1.66423166585e+05 
1.00000000000e+00, 3.17275386935e+07, 1.05610854316e+03, 1.47996994422e-04, 1.96097792580e+05, 1.41506314032e-01, 9.32955618059e+02, 1.84835488088e+03, 1.66055862800e+05 
1.00000000000e+00, 3.22295420854e+07, 1.05756887004e+03, 1.48694678962e-04, 1.96167387812e+05, 1.41943922038e-01, 9.33176873746e+02, 1.84458633822e+03, 1.65692264159e+05 
